Year,Acute Diarrhoeal Diseases - Cases,Acute Diarrhoeal Diseases - Deaths,Malaria - Cases,Malaria - Deaths,Acute Respiaratory Infection - Cases,Acute Respiaratory Infection - Deaths,Japanese Encephalitis - Cases,Japanese Encephalitis - Deaths,Viral Hepatitis - Cases,Viral Hepatitis - Deaths
2000,8870507,2918,2031790,931,NULL,NULL,2593,556,153034,1038
2001,9289558,2787,2085484,1005,NULL,NULL,2061,479,149262,1147
2002,9441456,3475,1842019,973,NULL,NULL,1765,466,135859,914
2003,10510476,4709,1869403,1006,NULL,NULL,2568,707,151287,1006
2004,NULL,NULL,1915363,949,25571757,5223,1697,367,203939,1122
2005,NULL,NULL,1816569,963,NULL,NULL,6669,1682,NULL,NULL
2006,10079263,3124,1785129,1707,25807722,3467,2871,663,146433,673
2007,10993639,3603,1508927,1311,36171496,6948,4110,995,110055,544
2008,11408666,2865,1526210,1055,27451421,5321,3839,684,92291,536
2009(P),10112845,1385,1373319,678,24720144,2612,5171,685,85164,416
2010(P),10112845,1388,1373317,678,24720144,2612,5171,685,85164,416
2011(P),10231049,1269,1278760,463,26300208,2492,8249,1169,94402,520
